Applicant,Address,Latitude,Longitude,FoodItems
Reecees Soulicious,201 BAY SHORE BLVD,37.74530891,-122.4034201,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans
Mini Mobile Food Catering,147 FREMONT ST,37.79018557,-122.3954717,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
El Alambre,1800 FOLSOM ST,37.76785244,-122.4161049,Tacos: Burritos: Quesadillas: Tortas
Got Snacks,1020 03RD ST,37.77551014,-122.3909993,sunflower seeds: crackerjacks: bottled water: peanuts: candy
El Alambre,1188 FRANKLIN ST,37.78527195,-122.4226036,Tacos: Burritos: Quesadillas: Nachos Alambres: Choice of Meat: Carne Asada: Carnitas: Pollo: Al Pastor Camarones
El Alambre,1100 FRANKLIN ST,37.78484603,-122.4225681,Tacos: Burritos: Quesadillas: Nachos Alambres: Choice of Meat: Carne Asada: Carnitas: Pollo: Al Pastor Camarones
El Alambre,1800 FOLSOM ST,37.76785244,-122.4161049,Tacos: Burritos: Quesadillas: Tortas
Cochinita,999 DIVISADERO ST,37.7783843,-122.4387824,Mexican Food: Yucatan Food: Street Food
Cochinita,501 02ND ST,37.7831711,-122.392901,Mexican Food: Yucatan Food: Street Food
Cochinita,1219 07TH AVE,37.76549699,-122.4645976,Mexican Food: Yucatan Food: Street Food
Cochinita,490 BRANNAN ST,37.77886314,-122.3964444,Mexican Food: Yucatan Food: Street Food
Scotch Bonnet,50 01ST ST,37.79014907,-122.3986582,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.
Liang Bai Ping,931 PALOU AVE,37.72673391,-122.378972,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages
"Chairman SF, LLC",625 02ND ST,37.78168898,-122.3910618,Baos: bowls & drinks
MOMO INNOVATION LLC,351 CALIFORNIA ST,37.79287075,-122.4007475,Noodles: Meat & Drinks
Kid Abelha - Brazilian Hamburgers,125 NAPOLEON ST,37.74685602,-122.3971498,Brazilian Hamburgers
Kid Abelha - Brazilian Hamburgers,2045 EVANS AVE,37.74777209,-122.3970317,Brazilian Hamburgers
"Off the Grid Services, LLC",44 MARY ST,37.78137237,-122.4066192,Multiple Food Trucks & Food Types
Breakfast Embed,234 01ST ST,37.78773327,-122.3956635,Coffee: Pastries: Bagels: Sandwiches: Other Items
"Off the Grid Services, LLC",90 BROADWAY,37.79926011,-122.3996179,everything except for hot dogs
Breakfast Embed,1200 04TH ST,37.77248361,-122.3918116,Coffee: Pastries: Bagels: Sandwiches: Other Items
San Francisco Taco Truck,345 WILLIAMS AVE,37.72980548,-122.3992471,Tacos: Tortas: Burritos
Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,2155 37TH AVE,37.74732655,-122.4962807,Multiple Food Trucks & Food Types
"San Francisco Street Foods, Inc.",100 POST ST,37.78923328,-122.4055791,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
Buenafe,901 16TH ST,37.76612469,-122.3954731,Tacos burritos quesadillas tortas pupusas flautas tamales
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",345 STOCKTON ST,37.78891015,-122.407196,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
Papalote Inc.,505 HOWARD ST,37.78798865,-122.3961007,Mexican; Burritos: Burrito Bowls: Salads
Buenafe,750 PHELPS ST,37.73944545,-122.393015,Tacos: Burritos: Quesadillas: Tortas
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",233 GEARY ST,37.7872426,-122.4068797,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
DO UC US Mobile Catering,2590 MARIN ST,37.74837583,-122.4032006,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
"San Francisco Street Foods, Inc.",2 MONTGOMERY ST,37.78939198,-122.4018247,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
"Off the Grid Services, LLC",185 BERRY ST,37.77632715,-122.3917968,everything except for hot dogs
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",1455 MARKET ST,37.77522831,-122.4174661,Tacos: burritos: soda & juice
Fillmore Square,1223 WEBSTER ST,37.78239151,-122.4311146,Breakfast and lunch items with a nod to various cultures
Senor Sisig,120 ELLIS ST,37.78561009,-122.4081548,Filipino fusion food: taco: burrito: nachos: rice plates
La Jefa,531 BAY SHORE BLVD,37.7387268,-122.406736,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.
Fillmore Square,1290 FILLMORE ST,37.78127595,-122.4318404,Breakfast and lunch items with a nod to various cultures
Senor Sisig,120 02ND ST,37.78751406,-122.3995663,Filipino fusion food: taco: burrito: nachos: rice plates
Think is Good Inc.,430 CALIFORNIA ST,37.79326221,-122.4017891,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.
Senor Sisig,300 PINE ST,0,0,Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.
Think is Good Inc.,560 MISSION ST,37.78886472,-122.3993594,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.
CARDONA'S FOOD TRUCK,1888 MISSION ST,37.7668976,-122.4203225,Tacos: Burritos: Quesadillas: Various Drinks
CARDONA'S FOOD TRUCK,1800 MISSION ST,37.76781718,-122.4205753,Tacos: Burritos: Quesadillas: Various Drinks
Fillmore Square,1245 FILLMORE ST,37.78085752,-122.4330568,Breakfast and lunch items with a nod to various cultures
Think is Good Inc.,100 PINE ST,37.79264072,-122.3989703,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.
Senor Sisig,101 CALIFORNIA ST,37.79294895,-122.3980986,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.
Fillmore Square,1290 FILLMORE ST,37.78127595,-122.4318404,Breakfast and lunch items with a nod to various cultures
Senor Sisig,90 BROADWAY,37.79926011,-122.3996179,Various menu items & drinks
California Kahve,1234 GREAT HWY,37.76360804,-122.5095958,Drip Coffee: Espresso Drinks: Matcha Green Tea: Black Teas: Herbal Teas: Crossaints: Savory and Sweet Breads
Senor Sisig,901 MISSION ST,37.78215364,-122.4066011,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.
Senor Sisig,8 10TH ST,37.77582552,-122.4172496,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.
Buenafe,220 RANKIN ST,37.74574924,-122.3924815,Tacos: Burritos: Quesadillas: Tortas
Senor Sisig,90 BROADWAY,37.79926011,-122.3996179,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.
"San Francisco Street Foods, Inc.",701 HOWARD ST,37.78351335,-122.4008134,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
"Off the Grid Services, LLC",185 BERRY ST,37.77632715,-122.3917968,everything except for hot dogs
DO UC US Mobile Catering,1420 04TH ST,37.76989775,-122.3910983,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
DO UC US Mobile Catering,400 PARNASSUS AVE,37.76386403,-122.4583917,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",3065 25TH ST,37.75093165,-122.41142,Tacos: burritos: soda & juice
"Off the Grid Services, LLC",340 BRANNAN ST,37.78126469,-122.393229,Everything
"San Francisco Street Foods, Inc.",1 THE EMBARCADERO,37.79464383,-122.3996443,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",251 GEARY ST,37.78717629,-122.4073981,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
Roadside Rotisserie Corporation / Country Grill,1 BUSH ST,37.79092151,-122.4001004,Rotisserie Chicken: Ribs: Kickass Salad: Potatos w/fat dripping: chicken wrap.
DO UC US Mobile Catering,1501 03RD ST,37.77089223,-122.3891692,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",1501 FOLSOM ST,37.7715867,-122.414007,Tacos: burritos: soda & juice
"San Francisco Street Foods, Inc.",5 THE EMBARCADERO,37.794331,-122.3958111,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
"Off the Grid Services, LLC",250 04TH ST,37.78236012,-122.402096,everything except for hot dogs
Tacos Rodriguez,1275 EVANS AVE,37.73911143,-122.382465,Tacos: burritos: quesadillas: soda & water
Singh Brothers Ice Cream,360 PENINSULA AVE,37.71084128,-122.3996426,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
Tacos Rodriguez,2198 OAKDALE AVE,37.74099474,-122.4011723,Tacos: burritos: quesadillas: soda & water
Tacos Rodriguez,600 MENDELL ST,37.73967879,-122.3864934,Tacos: burritos: quesadillas: soda & water
Roadside Rotisserie Corporation / Country Grill,90 BROADWAY,37.79926011,-122.3996179,Rotisserie Chicken: Ribs: Kickass Salad: Potatos w/fat dripping: chicken wrap.
Tacos Rodriguez,1 SANSOME ST,37.79048515,-122.4009404,Tacos: burritos: quesadillas: soda & water
"Off the Grid Services, LLC",525 BRANNAN ST,37.77751326,-122.3970441,Everything
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",1301 CESAR CHAVEZ ST,37.74925586,-122.3909754,Tacos: Burritos: Tortas: Quesadillas: Sodas: Chips: Candy
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",100 GEARY ST,37.78791423,-122.4052705,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
Papalote Inc.,60 SPEAR ST,37.79253599,-122.3945932,Mexican; Burritos: Burrito Bowls: Salads
CC Acquisition LLC,298 MARKET ST,37.79321373,-122.397043,Indian Chai (Tea)
Wu Wei LLC dba MoBowl,75 HOWARD ST,37.79155786,-122.3916715,Various types of meat: veggie: and seafood bowls.
Tacos El Flaco,2901 03RD ST,37.75240499,-122.3870002,Tacos: Burritos: Tortas: Quesadillas: Chips & Salsa & Various Beverages
Street Meet,306 VALENCIA ST,37.76785527,-122.4224844,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.
Roadside Rotisserie Corporation / Country Grill,300 CALIFORNIA ST,37.79344653,-122.4003437,Rotisserie Chicken; Ribs; Pork Loin; Roasted Potatoes; Chicken Wrap; Kale Salad; Drinks
San Francisco's Hometown Creamery,281 GEARY ST,37.78713649,-122.4077185,Ice Cream & Waffle Cones
Singh Brothers Ice Cream,1420 YOSEMITE AVE,37.7251817,-122.3881927,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
"SOHOMEI, LLC",500 MASONIC AVE,37.77655004,-122.4463076,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
"SOHOMEI, LLC",3300 CESAR CHAVEZ ST,37.74854979,-122.4161707,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
Serendipity SF,400 CALIFORNIA ST,37.79330428,-122.401459,Meatloaf: Grilled Cheese: Chicken Sandwich: Caprese Salad: Kale Salad: Fries: Sweet Potato Fries: Mac and Cheese: Mashed Potatoes
"Off the Grid Services, LLC",90 BROADWAY,37.79926011,-122.3996179,everything except for hot dogs
Brazuca Grill,380 10TH ST,37.77165385,-122.4118091,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,133 SHIPLEY ST,37.7807241,-122.4012354,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,2150 CESAR CHAVEZ ST,37.75023688,-122.397818,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,3150 03RD ST,37.74944294,-122.3879855,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,1051 26TH ST,37.75126941,-122.3898944,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,1347 DONNER AVE,37.72145084,-122.3893534,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,1411 MARKET ST,37.77582552,-122.4172496,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,1255 22ND ST,37.75701552,-122.3940629,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,998 INDIANA ST,37.75803739,-122.3916719,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Bonito Poke,505 HOWARD ST,37.78798865,-122.3961007,Bonito Poke Bowls & Various Drinks
Bonito Poke,409 ILLINOIS ST,37.76624505,-122.3873563,Bonito Poke Bowls & Various Drinks
Rita's Catering,1028 MISSION ST,37.78069438,-122.4096688,Filipino Food
Curry Up Now,370 DRUMM ST,37.79691371,-122.3966507,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi
"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",800 MARKET ST,37.78546975,-122.4066158,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.
"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",101 STOCKTON ST,37.78685611,-122.4068919,Soft Pretzels: hot dogs: sausage: chips: popcorn: soda: espresso: cappucino: pastries: ice cream: italian sausages: shish-ka-bob: churros: juice: water: various drinks
Curry Up Now,727 SANSOME ST,37.79694901,-122.4021834,Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades
Curry Up Now,601 03RD ST,37.78007717,-122.3937673,Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades
Bonito Poke,400 HOWARD ST,37.78911921,-122.395881,Bonito Poke Bowls & Various Drinks
"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",870 MARKET ST,37.78511092,-122.4074227,Soft pretzels: hot dogs: sausages: chips: popcorn: soda: espresso: cappucino: pastry: ica cream: ices: italian sausage: shish-ka-bob: churros: juice: water: various drinks
Curry Up Now,225 BUSH ST,37.79083842,-122.4011604,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi
Bonito Poke,430 CALIFORNIA ST,37.79326221,-122.4017891,Bonito Poke Bowls & Various Drinks
Brazuca Grill,1750 FOLSOM ST,37.76890352,-122.4159812,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,2660 NEWHALL ST,37.72721217,-122.3996363,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,1090 26TH ST,37.75160841,-122.3903095,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Truly Food & More,1500 GENEVA AVE,37.7123026,-122.4316442,Latin Food: Tacos: Pupusas: Vegetables: Salad: Water: Sodas
Eva's Catering,1199 ORTEGA ST,37.78350912,-122.4900712,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages
Brazuca Grill,951 INDIANA ST,37.75878616,-122.3909584,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,1420 CARROLL AVE,37.72357686,-122.3900591,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,815 TENNESSEE ST,37.7615022,-122.389277,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,3255 03RD ST,37.74844534,-122.386879,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Eva's Catering,1650 20TH AVE,37.75798419,-122.4334658,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages
Brazuca Grill,500 FRANCISCO ST,37.80504951,-122.4143344,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,700 PENNSYLVANIA AVE,37.75692365,-122.3935496,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,150 OTIS ST,37.7706834,-122.4208796,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
F & C Catering,1500 TENNESSEE ST,37.75224167,-122.3891885,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad
Brazuca Grill,3000 03RD ST,37.75046412,-122.3879083,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Brazuca Grill,790 TENNESSEE ST,37.7618524,-122.3899321,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Eva's Catering,630 BRANNAN ST,37.77609875,-122.4002872,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages
Brazuca Grill,640 TEXAS ST,37.75791706,-122.3954759,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
Park's Catering,190 NAPOLEON ST,37.74758628,-122.3988657,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
Natan's Catering,3040 HARRISON ST,37.74884806,-122.412619,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
Natan's Catering,Assessors Block 4046/Lot001,37.76200846,-122.3854418,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
El Gallo Jiro,3055 23RD ST,37.75392774,-122.4133231,Burritos: Giros: Tortas: Quesadillas: Tacos & Various Beverages
Roadside Rotisserie Corporation / Country Grill,1 POST ST,37.78877872,-122.4025746,Rotisserie chicken: pork loin: ribs: chicken salad wrap: potatoes: roasted seasonal vegetables kale salad: beverages.
"Chairman SF, LLC",34 ELLIS ST,37.78756517,-122.4095928,Baos: bowls & drinks
Brazuca Grill,368 ELM ST,37.78138003,-122.4231438,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages
